Time[s] TxPosX[m] TxPosY[m] RxPosX[m] RxPosY[m] ChannelState SNR[dB] Pathloss[dB]
1.62 0 0 -20 0 LOS -inf 66.4078
1.63 0 0 -20 0 LOS -inf 66.4082
1.64 0 0 -20 0 LOS -inf 66.4085
1.65 0 0 -20 0 LOS -inf 66.4089
1.66 0 0 -20 0 LOS -inf 66.4092
1.67 0 0 -20 0 LOS -inf 66.4096
1.68 0 0 -20 0 LOS -inf 66.4099
1.69 0 0 -20 0 LOS -inf 66.4103
1.7 0 0 -20 0 LOS -inf 66.4107
1.71 0 0 -20 0 LOS -inf 66.411
1.72 0 0 -20 0 LOS -inf 66.4114
1.73 0 0 -20 0 LOS -inf 66.4118
1.74 0 0 -20 0 LOS -inf 66.4121
1.75 0 0 -20 0 LOS -inf 66.4125
1.76 0 0 -20 0 LOS -inf 66.4129
1.77 0 0 -20 0 LOS -inf 66.4133
1.78 0 0 -20 0 LOS -inf 66.4137
1.79 0 0 -20 0 LOS -inf 66.414
1.8 0 0 -20 0 LOS -inf 66.4144
1.81 0 0 -20 0 LOS -inf 66.4148
1.82 0 0 -20 0 LOS -inf 66.4152
1.83 0 0 -20 0 LOS -inf 66.4156
1.84 0 0 -20 0 LOS -inf 66.416
1.85 0 0 -20 0 LOS -inf 66.4164
1.86 0 0 -20 0 LOS -inf 66.4168
1.87 0 0 -20 0 LOS -inf 66.4172
1.88 0 0 -20 0 LOS -inf 66.4176
1.89 0 0 -20 0 LOS -inf 66.418
1.9 0 0 -20 0 LOS -inf 66.4184
1.91 0 0 -20 0 LOS -inf 66.4188
1.92 0 0 -20 0 LOS -inf 66.4192
1.93 0 0 -20 0 LOS -inf 66.4197
1.94 0 0 -20 0 LOS -inf 66.4201
1.95 0 0 -20 0 LOS -inf 66.4205
1.96 0 0 -20 0 LOS -inf 66.4209
1.97 0 0 -20 0 LOS -inf 66.4213
1.98 0 0 -20 0 LOS -inf 66.4218
1.99 0 0 -20 0 LOS -inf 66.4222
2 0 0 -20 0 LOS -inf 66.4226
2.01 0 0 -20 0 LOS -inf 66.423
2.02 0 0 -20 0 LOS -inf 66.4235
2.03 0 0 -20 0 LOS -inf 66.4239
2.04 0 0 -20 0 LOS -inf 66.4244
2.05 0 0 -20 0 LOS -inf 66.4248
2.06 0 0 -20 0 LOS -inf 66.4252
2.07 0 0 -20 0 LOS -inf 66.4257
2.08 0 0 -20 0 LOS -inf 66.4261
2.09 0 0 -20 0 LOS -inf 66.4266
2.1 0 0 -20 0 LOS -inf 66.427
2.11 0 0 -20 0 LOS -inf 66.4275
2.12 0 0 -20 0 LOS -inf 66.4279
2.13 0 0 -20 0 LOS -inf 66.4284
2.14 0 0 -20 0 LOS -inf 66.4288
2.15 0 0 -20 0 LOS -inf 66.4293
2.16 0 0 -20 0 LOS -inf 66.4298
2.17 0 0 -20 0 LOS -inf 66.4302
2.18 0 0 -20 0 LOS -inf 66.4307
2.19 0 0 -20 0 LOS -inf 66.4312
2.2 0 0 -20 0 LOS -inf 66.4316
2.21 0 0 -20 0 LOS -inf 66.4321
2.22 0 0 -20 0 LOS -inf 66.4326
2.23 0 0 -20 0 LOS -inf 66.4331
2.24 0 0 -20 0 LOS -inf 66.4335
2.25 0 0 -20 0 LOS -inf 66.434
2.26 0 0 -20 0 LOS -inf 66.4345
2.27 0 0 -20 0 LOS -inf 66.435
2.28 0 0 -20 0 LOS -inf 66.4355
2.29 0 0 -20 0 LOS -inf 66.436
2.3 0 0 -20 0 LOS -inf 66.4365
2.31 0 0 -20 0 LOS -inf 66.437
2.32 0 0 -20 0 LOS -inf 66.4374
2.33 0 0 -20 0 LOS -inf 66.4379
2.34 0 0 -20 0 LOS -inf 66.4384
