theta_rad,phi_rad,gain_db
-0.10472,-2.57611,-3.4992
-0.0418879,-2.57611,-3.4992
0.020944,-2.57611,-20
0.0837758,-2.57611,-20
0.146608,-2.57611,-20
0.20944,-2.57611,-20
0.272271,-2.57611,-20
0.335103,-2.57611,-20
0.397935,-2.57611,-20
0.460767,-2.57611,-20
0.523599,-2.57611,-20
0.586431,-2.57611,-20
0.649262,-2.57611,-20
0.712094,-2.57611,-20
0.774926,-2.57611,-20
0.837758,-2.57611,-20
0.90059,-2.57611,-20
0.963422,-2.57611,-20
1.02625,-2.57611,-20
-1.0472,-2.51327,-4.32
-0.984366,-2.51327,-4.32
-0.921534,-2.51327,-4.32
-0.858702,-2.51327,-4.32
-0.79587,-2.51327,-4.32
-0.733038,-2.51327,-4.32
-0.670206,-2.51327,-4.32
-0.607375,-2.51327,-4.32
-0.544543,-2.51327,-4.32
-0.481711,-2.51327,-4.32
-0.418879,-2.51327,-4.32
-0.356047,-2.51327,-4.32
-0.293215,-2.51327,-4.32
-0.230383,-2.51327,-4.32
-0.167552,-2.51327,-4.32
-0.10472,-2.51327,-4.32
-0.0418879,-2.51327,-4.32
0.020944,-2.51327,-20
0.0837758,-2.51327,-20
0.146608,-2.51327,-20
0.20944,-2.51327,-20
0.272271,-2.51327,-20
0.335103,-2.51327,-20
0.397935,-2.51327,-20
0.460767,-2.51327,-20
0.523599,-2.51327,-20
0.586431,-2.51327,-20
0.649262,-2.51327,-20
0.712094,-2.51327,-20
0.774926,-2.51327,-20
0.837758,-2.51327,-20
0.90059,-2.51327,-20
0.963422,-2.51327,-20
1.02625,-2.51327,-20
-1.0472,-2.45044,-5.2272
-0.984366,-2.45044,-5.2272
-0.921534,-2.45044,-5.2272
-0.858702,-2.45044,-5.2272
-0.79587,-2.45044,-5.2272
-0.733038,-2.45044,-5.2272
-0.670206,-2.45044,-5.2272
-0.607375,-2.45044,-5.2272
-0.544543,-2.45044,-5.2272
-0.481711,-2.45044,-5.2272
-0.418879,-2.45044,-5.2272
-0.356047,-2.45044,-5.2272
-0.293215,-2.45044,-5.2272
-0.230383,-2.45044,-5.2272
-0.167552,-2.45044,-5.2272
-0.10472,-2.45044,-5.2272
-0.0418879,-2.45044,-5.2272
0.020944,-2.45044,-20
0.0837758,-2.45044,-20
0.146608,-2.45044,-20
0.20944,-2.45044,-20
0.272271,-2.45044,-20
0.335103,-2.45044,-20
0.397935,-2.45044,-20
0.460767,-2.45044,-20
0.523599,-2.45044,-20
0.586431,-2.45044,-20
0.649262,-2.45044,-20
0.712094,-2.45044,-20
0.774926,-2.45044,-20
0.837758,-2.45044,-20
0.90059,-2.45044,-20
0.963422,-2.45044,-20
1.02625,-2.45044,-20
-1.0472,-2.38761,-6.2208
-0.984366,-2.38761,-6.2208
-0.921534,-2.38761,-6.2208
-0.858702,-2.38761,-6.2208
-0.79587,-2.38761,-6.2208
-0.733038,-2.38761,-6.2208
-0.670206,-2.38761,-6.2208
-0.607375,-2.38761,-6.2208
-0.544543,-2.38761,-6.2208
-0.481711,-2.38761,-6.2208
-0.418879,-2.38761,-6.2208
-0.356047,-2.38761,-6.2208
-0.293215,-2.38761,-6.2208
-0.230383,-2.38761,-6.2208
-0.167552,-2.38761,-6.2208
-0.10472,-2.38761,-6.2208
-0.0418879,-2.38761,-6.2208
0.020944,-2.38761,-20
